time,score
2023/12/20 15:45:59,460
2023/12/20 15:48:58,20
2023/12/20 15:49:07,0
2023/12/20 15:49:39,1150
2023/12/20 15:54:56,0
2023/12/20 15:55:02,0
2023/12/20 15:59:24,10
2023/12/20 15:59:32,10
2023/12/20 15:59:32,10
2023/12/20 16:01:44,0
2023/12/20 16:01:52,50
2023/12/20 16:02:03,80
2023/12/20 16:02:15,10
2023/12/20 16:04:16,0
2023/12/20 16:04:20,0
2023/12/20 16:05:12,0
2023/12/20 16:05:25,0
2023/12/20 16:05:34,10
2023/12/20 16:05:49,20
2023/12/20 16:34:02,0
2023/12/20 16:34:10,0
2023/12/20 16:40:34,0
2023/12/20 16:40:43,0
2023/12/20 16:40:49,0
2023/12/20 16:41:25,0
2023/12/20 16:42:07,0
2023/12/20 17:20:22,0
2023/12/20 17:21:51,0
2023/12/20 17:22:22,30
2023/12/20 17:22:36,20
2023/12/20 17:23:50,10
2023/12/20 17:24:08,0
2023/12/20 17:32:03,80
2023/12/20 20:23:12,0
2023/12/20 20:24:02,0
2023/12/20 23:15:20,50
2023/12/20 23:16:24,0
2023/12/20 23:28:57,470
2023/12/20 23:30:45,0
2023/12/20 23:33:47,380
2023/12/20 23:38:00,1380
2023/12/20 23:39:12,20
2023/12/20 23:39:48,40
2023/12/20 23:40:10,350
2023/12/20 23:42:59,390
2023/12/20 23:43:15,90
2023/12/20 23:44:45,310
2023/12/20 23:45:03,730
2023/12/20 23:51:08,110
2023/12/20 23:51:34,1650
2023/12/20 23:51:56,1090
2023/12/21 00:02:52,40
2023/12/21 00:11:12,40
2023/12/21 00:12:40,0
2023/12/21 00:13:39,0
2023/12/21 00:16:14,0
2023/12/21 00:17:18,0
2023/12/21 00:17:53,60
2023/12/21 00:18:03,0
2023/12/21 00:51:19,750
2023/12/21 00:51:41,1340
2023/12/21 00:53:21,70
2023/12/21 00:53:53,630
2023/12/21 00:54:04,50
2023/12/21 00:56:21,970
2023/12/21 10:58:07,770
2023/12/21 11:03:12,0
2023/12/21 11:03:31,10
2023/12/21 11:20:16,30
2023/12/21 11:23:14,30
2023/12/21 11:23:36,0
2023/12/21 11:47:45,0
2023/12/21 11:48:04,0
2023/12/21 11:57:29,0
2023/12/21 11:57:42,0
2023/12/21 12:08:08,590
2023/12/21 12:08:58,660
2023/12/21 12:10:29,0
2023/12/21 12:10:49,80
2023/12/21 12:12:17,70
2023/12/21 12:12:52,690
2023/12/21 12:13:57,100
2023/12/21 12:14:42,1810
2023/12/21 13:29:28,0
2023/12/21 13:30:28,0
2023/12/21 13:31:21,0
2023/12/21 13:38:34,140
2023/12/21 13:39:38,2880
2023/12/21 13:40:41,400
2023/12/21 13:41:05,1050
2023/12/21 13:41:23,500
2023/12/21 13:41:37,120
2023/12/21 13:41:54,440
2023/12/21 13:44:43,70
2023/12/21 13:44:57,490
2023/12/21 14:10:02,60
2023/12/21 14:18:39,110
